"Compartment","Watershed","Forest","YEAR","MONTH","DAY","DEPTH","Moisture_m3_m3","DATE"
"EBHW","EB","HW",2004,5,22,"10cm",0.1788,2004-05-22
"EBHW","EB","HW",2004,5,23,"10cm",0.1813,2004-05-23
"EBHW","EB","HW",2004,5,24,"10cm",0.1825,2004-05-24
"EBHW","EB","HW",2004,5,25,"10cm",0.189,2004-05-25
"EBHW","EB","HW",2004,5,26,"10cm",0.1937,2004-05-26
"EBHW","EB","HW",2004,5,27,"10cm",0.1953,2004-05-27
"EBHW","EB","HW",2004,5,28,"10cm",0.1935,2004-05-28
"EBHW","EB","HW",2004,5,29,"10cm",0.193,2004-05-29
"EBHW","EB","HW",2004,5,30,"10cm",0.1917,2004-05-30
"EBHW","EB","HW",2004,5,31,"10cm",0.1899,2004-05-31
"EBHW","EB","HW",2004,6,1,"10cm",0.1894,2004-06-01
"EBHW","EB","HW",2004,6,2,"10cm",0.1924,2004-06-02
"EBHW","EB","HW",2004,6,3,"10cm",0.1929,2004-06-03
"EBHW","EB","HW",2004,6,4,"10cm",0.1898,2004-06-04
"EBHW","EB","HW",2004,6,5,"10cm",0.1877,2004-06-05
"EBHW","EB","HW",2004,6,6,"10cm",0.1866,2004-06-06
"EBHW","EB","HW",2004,6,7,"10cm",0.1883,2004-06-07
"EBHW","EB","HW",2004,6,8,"10cm",0.1868,2004-06-08
"EBHW","EB","HW",2004,6,9,"10cm",0.1838,2004-06-09
"EBHW","EB","HW",2004,6,10,"10cm",0.1824,2004-06-10
"EBHW","EB","HW",2004,6,11,"10cm",0.1825,2004-06-11
"EBHW","EB","HW",2004,6,12,"10cm",0.1815,2004-06-12
"EBHW","EB","HW",2004,6,13,"10cm",0.1796,2004-06-13
"EBHW","EB","HW",2004,6,14,"10cm",0.1788,2004-06-14
"EBHW","EB","HW",2004,6,15,"10cm",0.1783,2004-06-15
"EBHW","EB","HW",2004,6,16,"10cm",0.1759,2004-06-16
"EBHW","EB","HW",2004,6,17,"10cm",0.1731,2004-06-17
"EBHW","EB","HW",2004,6,18,"10cm",0.1709,2004-06-18
"EBHW","EB","HW",2004,6,19,"10cm",0.1792,2004-06-19
"EBHW","EB","HW",2004,6,20,"10cm",0.1814,2004-06-20
"EBHW","EB","HW",2004,6,21,"10cm",0.1766,2004-06-21
"EBHW","EB","HW",2004,6,22,"10cm",0.174,2004-06-22
"EBHW","EB","HW",2004,6,23,"10cm",0.1769,2004-06-23
"EBHW","EB","HW",2004,6,24,"10cm",0.1754,2004-06-24
"EBHW","EB","HW",2004,6,25,"10cm",0.1778,2004-06-25
"EBHW","EB","HW",2004,6,26,"10cm",0.1804,2004-06-26
"EBHW","EB","HW",2004,6,27,"10cm",0.1811,2004-06-27
"EBHW","EB","HW",2004,6,28,"10cm",0.1776,2004-06-28
"EBHW","EB","HW",2004,6,29,"10cm",0.1772,2004-06-29
"EBHW","EB","HW",2004,6,30,"10cm",0.1763,2004-06-30
"EBHW","EB","HW",2004,7,1,"10cm",0.174,2004-07-01
"EBHW","EB","HW",2004,7,2,"10cm",0.1834,2004-07-02
"EBHW","EB","HW",2004,7,3,"10cm",0.1826,2004-07-03
"EBHW","EB","HW",2004,7,4,"10cm",0.1802,2004-07-04
"EBHW","EB","HW",2004,7,5,"10cm",0.1786,2004-07-05
"EBHW","EB","HW",2004,7,6,"10cm",0.1784,2004-07-06
"EBHW","EB","HW",2004,7,7,"10cm",0.1768,2004-07-07
"EBHW","EB","HW",2004,7,8,"10cm",0.1759,2004-07-08
"EBHW","EB","HW",2004,7,9,"10cm",0.187,2004-07-09
