Compartment,Datetime,Depth,Moisture_m3_m3,Temp_C,Remove
WBHW,01-02-2011  12:00:00 AM,25cm,0.1098,,
WBHW,01-02-2011  12:00:00 AM,10cm,0.12974,2.46,
WBHW,01-02-2011  12:00:00 AM,vertical,0.1535,,
WBHW,01-02-2011  12:00:00 PM,25cm,0.11108,,
WBHW,01-02-2011  12:00:00 PM,10cm,0.13059,2.46,
WBHW,01-02-2011  12:00:00 PM,vertical,0.16452,,
WBHW,01-02-2011  3:00:00 AM,25cm,0.11023,,
WBHW,01-02-2011  3:00:00 AM,10cm,0.12974,2.46,
WBHW,01-02-2011  3:00:00 AM,vertical,0.15434,,
WBHW,01-02-2011  3:00:00 PM,25cm,0.11192,,
WBHW,01-02-2011  3:00:00 PM,10cm,0.13229,2.46,
WBHW,01-02-2011  3:00:00 PM,vertical,0.17089,,
WBHW,01-02-2011  6:00:00 AM,25cm,0.11065,,
WBHW,01-02-2011  6:00:00 AM,10cm,0.13059,2.46,
WBHW,01-02-2011  6:00:00 AM,vertical,0.15774,,
WBHW,01-02-2011  6:00:00 PM,25cm,0.1132,,
WBHW,01-02-2011  6:00:00 PM,10cm,0.13398,2.46,
WBHW,01-02-2011  6:00:00 PM,vertical,0.17131,,
WBHW,01-02-2011  9:00:00 AM,25cm,0.11065,,
WBHW,01-02-2011  9:00:00 AM,10cm,0.13059,2.46,
WBHW,01-02-2011  9:00:00 AM,vertical,0.16028,,
WBHW,01-02-2011  9:00:00 PM,25cm,0.11362,,
WBHW,01-02-2011  9:00:00 PM,10cm,0.13483,2.46,
WBHW,01-02-2011  9:00:00 PM,vertical,0.17046,,
WBHW,01-03-2006  12:00:00 AM,25cm,0.11192,,
WBHW,01-03-2006  12:00:00 AM,10cm,0.13398,0.73,
WBHW,01-03-2006  12:00:00 AM,vertical,0.16495,,
WBHW,01-03-2006  12:00:00 PM,25cm,0.1098,,
WBHW,01-03-2006  12:00:00 PM,10cm,0.13059,0.73,
WBHW,01-03-2006  12:00:00 PM,vertical,0.16495,,
